순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
1,9791190382175,S000001939514,더 해빙(The Having)(50만부 기념 리커버 에디션),"16,000","14,400",10%,5%,800,이서윤 외,수오서재,20200301,자기계발
2,9791188331796,S000001913217,돈의 속성(200쇄 리커버에디션),"17,800","16,020",10%,5%,890,김승호,스노우폭스북스,20200615,경제/경영
3,9788936434267,S000000610625,아몬드,"14,000","12,600",10%,5%,700,손원평,창비,20170331,소설
4,9788947544085,S000000695821,하버드 상위 1퍼센트의 비밀(리커버 에디션),"16,000","14,400",10%,5%,800,정주영,한국경제신문,20181017,자기계발
5,9791190313131,S000001938772,지적 대화를 위한 넓고 얕은 지식: 제로 편,"19,800","17,820",10%,5%,990,채사장,웨일북(whalebooks),20191224,인문
6,9791187481720,S000001902241,존리의 부자되기 습관(20만부 기념 리커버 에디션),"15,000","13,500",10%,5%,750,존 리,지식노마드,20200115,경제/경영
7,9791165210144,S000001834330,주식투자 무작정 따라하기(2020),"18,000","16,200",10%,5%,900,윤재수,길벗,20200110,경제/경영
8,9791164134267,S000001825973,흔한남매 3,"12,000","10,800",10%,5%,600,흔한남매 ,미래엔아이세움,20200109,어린이(초등)
9,9788965422785,S000001020219,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,"12,900","11,610",10%,5%,640,David Cho,해커스어학연구소,20220314,외국어
10,9791130627878,S000001686849,내가 원하는 것을 나도 모를 때,"16,000","14,400",10%,5%,800,전승환,다산초당,20200108,인문
11,9791165341909,S000001835614,달러구트 꿈 백화점(레인보우 에디션),"13,800","12,420",10%,5%,690,이미예,팩토리나인,20200708,소설
12,9791159036514,S000001774493,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션),"12,000","10,800",10%,5%,600,헤르만 헤세,더스토리,20171030,소설
13,9791190299060,S000001938499,1cm 다이빙,"13,500","12,150",10%,5%,670,태수 외,피카(FIKA),20200121,시/에세이
14,9791196797706,S000001980665,지쳤거나 좋아하는 게 없거나,"13,500","12,150",10%,5%,670,글배우,강한별,20190904,시/에세이
15,9788901243665,S000000407904,김미경의 리부트,"16,000","14,400",10%,5%,800,김미경,웅진지식하우스,20200701,자기계발
16,9791190413152,S000001939916,한번도 경험해보지 못한 나라,"17,800","16,020",10%,5%,890,강양구 외,천년의상상,20200825,정치/사회
17,9788959896837,S000000912600,트렌드 코리아 2021,"18,000","16,200",10%,5%,900,김난도 외,미래의창,20201013,경제/경영
18,9788934985068,S000000597791,팩트풀니스,"19,800","17,820",10%,5%,990,한스 로슬링 외,김영사,20190310,인문
19,9788965746669,S000001026048,당신이 옳다,"17,500","15,750",10%,5%,870,정혜신,해냄출판사,20181010,인문
20,9788937479953,S000000620706,보건교사 안은영(특별판),"14,000","12,600",10%,5%,700,정세랑,민음사,20200911,소설
21,9788970127248,S000001068676,총 균 쇠,"28,000","25,200",10%,5%,"1,400",재레드 다이아몬드,문학사상,20051219,역사/문화
22,9791130629636,S000001686934,애쓰지 않고 편안하게(20만 부 기념 에디션),"15,000","13,500",10%,5%,750,김수현,놀,20200514,시/에세이
23,9791165075064,S000001833594,녹나무의 파수꾼,"17,800","16,020",10%,5%,890,히가시노 게이고,소미미디어,20200317,소설
24,9788983711892,S000001290624,코스모스,"19,900","17,910",10%,5%,990,칼 세이건,사이언스북스,20100120,과학
25,9791190305679,S000001938651,"1일 1페이지, 세상에서 가장 짧은 교양 수업 365","16,000","14,400",10%,5%,800,데이비드 S. 키더 외,위즈덤하우스,20191030,인문
