날짜,시가,고가,저가,종가,거래량,상장시가총액
2018-01-31,2474.86,2607.1,2465.94,2566.46,8253530594,1.67E+15
2018-02-28,2578.91,2583.74,2346.73,2427.36,7281216250,1.61E+15
2018-03-31,2406.57,2508.71,2374.8,2445.85,8078904661,1.63E+15
2018-04-30,2454.72,2515.38,2405.91,2515.38,10439849786,1.68E+15
2018-05-31,2515.75,2516.57,2399.58,2423.01,12820544339,1.62E+15
2018-06-30,2419.63,2479.56,2296.39,2326.13,9450856204,1.55E+15
2018-07-31,2322.23,2327.59,2243.9,2295.26,7509557921,1.54E+15
2018-08-31,2301.17,2322.88,2218.09,2322.88,6204573096,1.55E+15
2018-09-30,2317.93,2356.62,2264.9,2343.07,5433226207,1.57E+15
2018-10-31,2349.64,2352.11,1985.95,2029.69,7022096257,1.36E+15
2018-11-30,2035.11,2136.74,2023.43,2096.86,6978958763,1.40E+15
2018-12-31,2127.78,2136.64,2014.28,2041.04,7631879180,1.34E+15
2019-01-31,2050.55,2222.88,1984.53,2204.85,9455197243,1.46E+15
2019-02-28,2211.93,2241.76,2167.36,2195.44,6882554315,1.45E+15
2019-03-31,2210.97,2216.02,2120.93,2140.67,6458055507,1.42E+15
2019-04-30,2153.31,2252.05,2153.31,2203.59,9689748201,1.46E+15
2019-05-31,2192.94,2217.03,2016.25,2041.74,11242891618,1.36E+15
2019-06-30,2031.03,2141.27,2029.17,2130.62,11256687016,1.42E+15
2019-07-31,2147.24,2147.24,2010.95,2024.55,11908954060,1.35E+15
2019-08-31,2015.09,2032.23,1891.81,1967.79,10472131195,1.31E+15
2019-09-30,1961.19,2101.63,1958.59,2063.05,8620782748,1.38E+15
2019-10-31,2062.44,2105.17,2010.9,2083.48,8884391876,1.40E+15
2019-11-30,2084.79,2165.89,2081.53,2087.96,10737647300,1.40E+15
2019-12-31,2097.55,2215.55,2053.56,2197.67,10188752704,1.48E+15
2020-01-31,2201.21,2277.23,2119.01,2119.01,13096066333,1.43E+15
2020-02-29,2086.61,2255.49,1980.82,1987.01,13959766513,1.34E+15
2020-03-31,1997.03,2089.08,1439.43,1754.64,17091025314,1.18E+15
2020-04-30,1737.28,1957.51,1664.13,1947.56,21045120912,1.31E+15
2020-05-31,1906.42,2054.52,1894.29,2029.6,16206496902,1.36E+15
2020-06-30,2037.04,2217.21,2030.82,2108.33,19863704134,1.42E+15
2020-07-31,2128.81,2281.41,2101.33,2249.37,18866786790,1.53E+15
2020-08-31,2251.65,2458.17,2237.04,2326.17,17643123574,1.58E+15
2020-09-30,2340.19,2450.53,2267.63,2327.89,19606896975,1.58E+15
2020-10-31,2330.55,2418.89,2266.93,2267.15,15705576987,1.55E+15
2020-11-30,2276.61,2648.66,2267.95,2591.34,24377964949,1.78E+15
2020-12-31,2613.42,2878.21,2611.67,2873.47,24561049328,1.98E+15
2021-01-31,2874.5,3266.23,2869.11,2976.21,26093976278,2.05E+15
2021-02-28,2976.81,3180.94,2947.24,3012.95,30029597466,2.08E+15
2021-03-31,3021.68,3096.5,2929.36,3061.42,27901981044,2.13E+15
2021-04-30,3073.77,3223.05,3069.68,3147.86,31066511618,2.20E+15
2021-05-31,3149.05,3255.9,3103.88,3203.92,18790315271,2.24E+15
2021-06-30,3207.12,3316.08,3199.18,3296.68,35354542874,2.31E+15
2021-07-31,3297.92,3313.51,3188.8,3202.32,22117057112,2.25E+15
2021-08-31,3218.42,3296.17,3049.03,3199.27,13800929905,2.31E+15
2021-09-30,3195.67,3215.13,3030.6,3068.82,14269522234,2.23E+15
2021-10-31,3056.21,3062.6,2901.51,2970.68,13911734997,2.16E+15
2021-11-30,2984.18,3034.3,2822.73,2839.01,13789073481,2.10E+15
2021-12-31,2860.12,3043.83,2837.03,2977.65,10665615343,2.20E+15
2022-01-31,2998.32,3010.77,2591.53,2663.34,10925620515,2.09E+15
2022-02-28,2706.34,2788.27,2642.63,2699.18,10117938499,2.12E+15
2022-03-31,2698.31,2765.2,2605.81,2757.65,14407387495,2.16E+15
2022-04-30,2745.85,2769.18,2615.5,2695.05,22025887930,2.12E+15
2022-05-31,2669.21,2702.1,2546.8,2685.9,16868003801,2.11E+15
2022-06-30,2670.74,2681.51,2306.48,2332.64,12014671402,1.84E+15
2022-07-31,2342.92,2463.05,2276.63,2451.5,7955652326,1.93E+15
2022-08-31,2444.05,2546.35,2417.01,2472.05,9767925852,1.95E+15
2022-09-30,2443,2453.95,2134.77,2155.49,9375488477,1.70E+15
2022-10-31,2189.51,2295.51,2162.87,2293.61,11774296522,1.81E+15
2022-11-30,2301.58,2499.43,2296.44,2472.53,12748764620,1.95E+15
2022-12-31,2501.43,2501.43,2236.38,2236.4,8436756930,1.77E+15
