시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
강원도,강릉시,212642,104765,121875,136371,49.27,57.31,64.13
강원도,고성군,27366,16276,17990,19345,59.48,65.74,70.69
강원도,동해시,89804,43268,50893,57458,48.18,56.67,63.98
강원도,삼척시,64264,34723,39439,43286,54.03,61.37,67.36
강원도,속초시,82737,40079,46389,52190,48.44,56.07,63.08
강원도,양구군,21701,10484,11738,12898,48.31,54.09,59.44
강원도,양양군,27901,16998,18844,20426,60.92,67.54,73.21
강원도,영월군,38003,23714,26155,28040,62.40,68.82,73.78
강원도,원주시,358659,149410,178785,206296,41.66,49.85,57.52
강원도,인제군,32216,15394,17349,19367,47.78,53.85,60.12
강원도,정선군,35446,21708,24251,26284,61.24,68.42,74.15
강원도,철원군,42964,21417,24283,26809,49.85,56.52,62.40
강원도,춘천시,285372,124584,145987,166554,43.66,51.16,58.36
강원도,태백시,40331,22064,25240,28063,54.71,62.58,69.58
강원도,평창군,41136,25667,28498,30693,62.40,69.28,74.61
강원도,홍천군,68047,39890,44225,47796,58.62,64.99,70.24
강원도,화천군,24046,11891,13244,14479,49.45,55.08,60.21
강원도,횡성군,46401,29321,31993,34221,63.19,68.95,73.75
경기도,가평군,62221,35493,39661,43217,57.04,63.74,69.46
경기도,고양시 덕양구,484122,197269,236745,275457,40.75,48.90,56.90
경기도,고양시 일산동구,299256,120260,146591,169492,40.19,48.99,56.64
경기도,고양시 일산서구,295687,119208,145799,167937,40.32,49.31,56.80
경기도,과천시,78128,29858,35632,41669,38.22,45.61,53.33
경기도,광명시,290698,115472,140774,164799,39.72,48.43,56.69
경기도,광주시,388213,153410,186282,221663,39.52,47.98,57.10
경기도,구리시,191213,78975,94767,110073,41.30,49.56,57.57
경기도,군포시,267173,108616,130622,150678,40.65,48.89,56.40
경기도,김포시,485882,165018,207290,257935,33.96,42.66,53.09
경기도,남양주시,734033,286316,352568,418777,39.01,48.03,57.05
경기도,동두천시,93346,44832,52217,58504,48.03,55.94,62.67
경기도,부천시,802473,337301,400362,461935,42.03,49.89,57.56
경기도,성남시 분당구,484680,175469,219182,260743,36.20,45.22,53.80
경기도,성남시 수정구,235377,99867,117846,135992,42.43,50.07,57.78
경기도,성남시 중원구,209406,91173,107084,122360,43.54,51.14,58.43
경기도,수원시 권선구,369288,134586,164244,195990,36.44,44.48,53.07
경기도,수원시 영통구,361145,103754,136455,170508,28.73,37.78,47.21
경기도,수원시 장안구,273541,108623,131918,152366,39.71,48.23,55.70
경기도,수원시 팔달구,181595,73972,88028,101216,40.73,48.47,55.74
경기도,시흥시,512455,176938,222403,269846,34.53,43.40,52.66
경기도,안산시 단원구,301483,117832,143419,165812,39.08,47.57,55.00
경기도,안산시 상록구,349670,139740,169520,194595,39.96,48.48,55.65
경기도,안성시,189539,83303,98519,113484,43.95,51.98,59.87
경기도,안양시 동안구,313589,118461,145672,170462,37.78,46.45,54.36
경기도,안양시 만안구,236237,104609,121811,138351,44.28,51.56,58.56
경기도,양주시,236239,97726,118516,137497,41.37,50.17,58.20
경기도,양평군,121726,67568,76310,83958,55.51,62.69,68.97
경기도,여주시,112393,57655,65930,73426,51.30,58.66,65.33
경기도,연천군,42784,23439,25949,28152,54.78,60.65,65.80
경기도,오산시,229918,71962,92952,116158,31.30,40.43,50.52
경기도,용인시 기흥구,440826,156789,198595,238706,35.57,45.05,54.15
경기도,용인시 수지구,375172,129214,165484,200443,34.44,44.11,53.43
