시도명,시도별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
강원도,1539036,751653,867178,970576,48.84,56.35,63.06
경기도,13575936,5204891,6355895,7501336,38.34,46.82,55.25
경상남도,3303274,1485074,1753414,2010991,44.96,53.08,60.88
경상북도,2619641,1301803,1497547,1677744,49.69,57.17,64.04
광주광역시,1438463,555045,676435,791163,38.59,47.02,55.00
대구광역시,2380494,1038551,1231624,1408791,43.63,51.74,59.18
대전광역시,1450057,576317,695324,806530,39.74,47.95,55.62
부산광역시,3343504,1547742,1798470,2049092,46.29,53.79,61.29
서울특별시,9506778,3849867,4592794,5326240,40.50,48.31,56.03
세종특별자치시,377296,108379,142664,182836,28.73,37.81,48.46
울산광역시,1118010,456904,548104,640267,40.87,49.02,57.27
인천광역시,2952699,1196852,1438348,1678557,40.53,48.71,56.85
전라남도,1829501,926512,1059361,1178614,50.64,57.90,64.42
전라북도,1782205,853619,991515,1112571,47.90,55.63,62.43
제주특별자치도,677218,277851,334973,389306,41.03,49.46,57.49
충청남도,2119099,939756,1104709,1266273,44.35,52.13,59.76
충청북도,1597484,716936,839740,954411,44.88,52.57,59.74
