시도명,시군구명,행정동명,행정동별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
서울특별시,종로구,청운효자동,11904,4885,5934,6956,41.04,49.85,58.43
서울특별시,종로구,사직동,9370,4030,4791,5495,43.01,51.13,58.64
서울특별시,종로구,삼청동,2441,1209,1368,1554,49.53,56.04,63.66
서울특별시,종로구,부암동,9488,4229,5045,5763,44.57,53.17,60.74
서울특별시,종로구,평창동,18087,8227,9590,10904,45.49,53.02,60.29
서울특별시,종로구,무악동,8210,3466,4226,4855,42.22,51.47,59.14
서울특별시,종로구,교남동,9989,3893,4774,5651,38.97,47.79,56.57
서울특별시,종로구,가회동,4045,1892,2235,2554,46.77,55.25,63.14
서울특별시,종로구,종로1.2.3.4가동,7225,3989,4466,4896,55.21,61.81,67.76
서울특별시,종로구,종로5.6가동,5080,2371,2655,2907,46.67,52.26,57.22
서울특별시,종로구,이화동,7226,2947,3378,3828,40.78,46.75,52.98
서울특별시,종로구,혜화동,16383,6012,7107,8094,36.70,43.38,49.40
서울특별시,종로구,창신제1동,4908,2815,3128,3386,57.36,63.73,68.99
서울특별시,종로구,창신제2동,7866,4312,4866,5263,54.82,61.86,66.91
서울특별시,종로구,창신제3동,6513,3039,3494,3919,46.66,53.65,60.17
서울특별시,종로구,숭인제1동,5843,2859,3312,3712,48.93,56.68,63.53
서울특별시,종로구,숭인제2동,9697,4076,4663,5232,42.03,48.09,53.95
서울특별시,중구,소공동,2252,695,908,1197,30.86,40.32,53.15
서울특별시,중구,회현동,4742,2715,3086,3348,57.25,65.08,70.60
서울특별시,중구,명동,2849,1476,1675,1879,51.81,58.79,65.95
서울특별시,중구,필동,4043,1815,2038,2271,44.89,50.41,56.17
서울특별시,중구,장충동,4608,1740,2020,2303,37.76,43.84,49.98
서울특별시,중구,광희동,5244,2369,2681,2981,45.18,51.13,56.85
서울특별시,중구,을지로동,1746,935,1033,1119,53.55,59.16,64.09
서울특별시,중구,신당동,7698,3396,3918,4447,44.12,50.90,57.77
서울특별시,중구,다산동,13723,6155,7118,8019,44.85,51.87,58.43
서울특별시,중구,약수동,16638,8096,9247,10444,48.66,55.58,62.77
서울특별시,중구,청구동,13521,6231,7171,8049,46.08,53.04,59.53
서울특별시,중구,신당제5동,10303,4441,5174,5960,43.10,50.22,57.85
서울특별시,중구,동화동,10219,4725,5466,6187,46.24,53.49,60.54
서울특별시,중구,황학동,12623,4637,5411,6471,36.73,42.87,51.26
서울특별시,중구,중림동,11964,4839,5771,6870,40.45,48.24,57.42
서울특별시,용산구,후암동,16765,7070,8328,9613,42.17,49.67,57.34
서울특별시,용산구,용산2가동,9399,4194,4802,5479,44.62,51.09,58.29
서울특별시,용산구,남영동,7351,3942,4522,4945,53.63,61.52,67.27
서울특별시,용산구,청파동,19459,7769,9119,10312,39.92,46.86,52.99
서울특별시,용산구,원효로제1동,16003,5181,6324,7788,32.38,39.52,48.67
서울특별시,용산구,원효로제2동,13719,5605,6686,7725,40.86,48.74,56.31
서울특별시,용산구,효창동,10059,3732,4473,5281,37.10,44.47,52.50
서울특별시,용산구,용문동,11818,5017,5860,6715,42.45,49.59,56.82
서울특별시,용산구,한강로동,21662,8149,9459,11016,37.62,43.67,50.85
서울특별시,용산구,이촌제1동,25750,10423,12640,14833,40.48,49.09,57.60
서울특별시,용산구,이촌제2동,8242,3876,4437,5078,47.03,53.83,61.61
서울특별시,용산구,이태원제1동,6332,2914,3313,3716,46.02,52.32,58.69
서울특별시,용산구,이태원제2동,8947,3745,4391,5096,41.86,49.08,56.96
서울특별시,용산구,한남동,20329,8476,9984,11720,41.69,49.11,57.65
서울특별시,용산구,서빙고동,12997,5280,6594,7643,40.62,50.73,58.81
서울특별시,용산구,보광동,13337,6229,7218,8129,46.70,54.12,60.95
서울특별시,성동구,왕십리제2동,16397,6469,7682,8956,39.45,46.85,54.62
서울특별시,성동구,왕십리도선동,26491,10001,11867,14031,37.75,44.80,52.97
서울특별시,성동구,마장동,22375,9366,10877,12234,41.86,48.61,54.68
서울특별시,성동구,사근동,12062,3371,3929,4472,27.95,32.57,37.08
서울특별시,성동구,행당제1동,13923,5388,6423,7494,38.70,46.13,53.82
서울특별시,성동구,행당제2동,23180,9482,11469,13253,40.91,49.48,57.17
서울특별시,성동구,응봉동,15299,6024,7490,8808,39.38,48.96,57.57
서울특별시,성동구,금호1가동,15119,6232,7414,8765,41.22,49.04,57.97
서울특별시,성동구,금호2.3가동,22631,9260,10954,12908,40.92,48.40,57.04
서울특별시,성동구,금호4가동,14293,5602,6784,8153,39.19,47.46,57.04
서울특별시,성동구,옥수동,25910,9919,11870,14385,38.28,45.81,55.52
서울특별시,성동구,성수1가제1동,16493,6777,7937,9094,41.09,48.12,55.14
서울특별시,성동구,성수1가제2동,12471,4906,5823,6779,39.34,46.69,54.36
서울특별시,성동구,성수2가제1동,15675,7432,8494,9540,47.41,54.19,60.86
서울특별시,성동구,성수2가제3동,10707,4516,5205,5930,42.18,48.61,55.38
서울특별시,성동구,송정동,10479,4722,5435,6199,45.06,51.87,59.16
서울특별시,성동구,용답동,11568,5115,5953,6660,44.22,51.46,57.57
서울특별시,광진구,화양동,23687,5320,6290,7448,22.46,26.55,31.44
서울특별시,광진구,군자동,19529,7211,8425,9722,36.92,43.14,49.78
서울특별시,광진구,중곡제1동,15401,6239,7214,8280,40.51,46.84,53.76
서울특별시,광진구,중곡제2동,21334,8529,9995,11490,39.98,46.85,53.86
서울특별시,광진구,중곡제3동,16071,7126,8275,9295,44.34,51.49,57.84
서울특별시,광진구,중곡제4동,28442,13126,15169,17057,46.15,53.33,59.97
서울특별시,광진구,능동,11285,3835,4550,5444,33.98,40.32,48.24
서울특별시,광진구,광장동,34545,11482,15374,18756,33.24,44.50,54.29
서울특별시,광진구,자양제1동,22183,8727,10397,11996,39.34,46.87,54.08
서울특별시,광진구,자양제2동,24469,10215,12134,14037,41.75,49.59,57.37
서울특별시,광진구,자양제3동,27909,11133,13283,15538,39.89,47.59,55.67
서울특별시,광진구,자양제4동,18007,8376,9543,10739,46.52,53.00,59.64
서울특별시,광진구,구의제1동,22899,8140,9742,11418,35.55,42.54,49.86
서울특별시,광진구,구의제2동,26423,11025,13165,15250,41.73,49.82,57.71
서울특별시,광진구,구의제3동,28523,11096,13344,15456,38.90,46.78,54.19
