시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,
강원도,강릉시,212642,68175,86108,104765,32.06,40.49,49.27,
강원도,고성군,27366,11495,14021,16276,42.00,51.24,59.48,
강원도,동해시,89804,27640,35017,43268,30.78,38.99,48.18,
강원도,삼척시,64264,23805,29272,34723,37.04,45.55,54.03,
강원도,속초시,82737,24975,32285,40079,30.19,39.02,48.44,
강원도,양구군,21701,7129,8915,10484,32.85,41.08,48.31,
강원도,양양군,27901,12073,14641,16998,43.27,52.47,60.92,
강원도,영월군,38003,16670,20412,23714,43.86,53.71,62.40,
강원도,원주시,358659,87987,117366,149410,24.53,32.72,41.66,
강원도,인제군,32216,10336,13039,15394,32.08,40.47,47.78,
강원도,정선군,35446,15082,18512,21708,42.55,52.23,61.24,
강원도,철원군,42964,14554,18146,21417,33.87,42.24,49.85,
강원도,춘천시,285372,77761,100291,124584,27.25,35.14,43.66,
강원도,태백시,40331,15069,18526,22064,37.36,45.93,54.71,
강원도,평창군,41136,17924,22039,25667,43.57,53.58,62.40,
강원도,홍천군,68047,27936,34461,39890,41.05,50.64,58.62,
강원도,화천군,24046,8138,10114,11891,33.84,42.06,49.45,
강원도,횡성군,46401,20902,25556,29321,45.05,55.08,63.19,
경기도,가평군,62221,24449,30333,35493,39.29,48.75,57.04,
경기도,고양시 덕양구,484122,113087,153391,197269,23.36,31.68,40.75,
경기도,고양시 일산동구,299256,63574,89755,120260,21.24,29.99,40.19,
경기도,고양시 일산서구,295687,62708,88478,119208,21.21,29.92,40.32,
경기도,과천시,78128,16685,22998,29858,21.36,29.44,38.22,
경기도,광명시,290698,66549,89374,115472,22.89,30.74,39.72,
경기도,광주시,388213,87684,118799,153410,22.59,30.60,39.52,
경기도,구리시,191213,44142,60737,78975,23.09,31.76,41.30,
경기도,군포시,267173,61400,83996,108616,22.98,31.44,40.65,
경기도,김포시,485882,95399,127505,165018,19.63,26.24,33.96,
경기도,남양주시,734033,163120,219446,286316,22.22,29.90,39.01,
경기도,동두천시,93346,28331,36301,44832,30.35,38.89,48.03,
경기도,부천시,802473,193352,264468,337301,24.09,32.96,42.03,
경기도,성남시 분당구,484680,96612,130885,175469,19.93,27.00,36.20,
경기도,성남시 수정구,235377,59969,79510,99867,25.48,33.78,42.43,
경기도,성남시 중원구,209406,54679,72678,91173,26.11,34.71,43.54,
경기도,수원시 권선구,369288,72167,102189,134586,19.54,27.67,36.44,
경기도,수원시 영통구,361145,48281,72475,103754,13.37,20.07,28.73,
경기도,수원시 장안구,273541,59344,82277,108623,21.69,30.08,39.71,
경기도,수원시 팔달구,181595,43127,57885,73972,23.75,31.88,40.73,
경기도,시흥시,512455,86780,128925,176938,16.93,25.16,34.53,
경기도,안산시 단원구,301483,59189,87494,117832,19.63,29.02,39.08,
경기도,안산시 상록구,349670,70604,103477,139740,20.19,29.59,39.96,
경기도,안성시,189539,51275,66684,83303,27.05,35.18,43.95,
경기도,안양시 동안구,313589,64644,89371,118461,20.61,28.50,37.78,
경기도,안양시 만안구,236237,62331,83504,104609,26.38,35.35,44.28,
경기도,양주시,236239,58041,76715,97726,24.57,32.47,41.37,
경기도,양평군,121726,46661,57709,67568,38.33,47.41,55.51,
경기도,여주시,112393,37606,47949,57655,33.46,42.66,51.30,
경기도,연천군,42784,16469,20293,23439,38.49,47.43,54.78,
경기도,오산시,229918,37649,52785,71962,16.37,22.96,31.30,
경기도,용인시 기흥구,440826,86081,115878,156789,19.53,26.29,35.57,
경기도,용인시 수지구,375172,71093,95094,129214,18.95,25.35,34.44,
경기도,용인시 처인구,259786,60750,81787,104982,23.38,31.48,40.41,
경기도,의왕시,162493,38236,52579,67366,23.53,32.36,41.46,
경기도,의정부시,464262,111587,150231,193150,24.04,32.36,41.60,
경기도,이천시,222714,50897,67967,86621,22.85,30.52,38.89,
경기도,파주시,486131,103505,138879,181431,21.29,28.57,37.32,
경기도,평택시,568405,108963,151143,201466,19.17,26.59,35.44,
경기도,포천시,148527,47957,63092,77012,32.29,42.48,51.85,
경기도,하남시,323442,65193,86781,111383,20.16,26.83,34.44,
경기도,화성시,890668,132476,186866,256772,14.87,20.98,28.83,
경상남도,거제시,239554,47072,64973,87415,19.65,27.12,36.49,
경상남도,거창군,60841,23818,28925,34021,39.15,47.54,55.92,
경상남도,고성군,50126,22283,26843,31151,44.45,53.55,62.15,
경상남도,김해시,536662,106000,150996,205211,19.75,28.14,38.24,
경상남도,남해군,42221,21305,25049,28350,50.46,59.33,67.15,
경상남도,밀양시,103482,43333,53097,61455,41.87,51.31,59.39,
경상남도,사천시,109617,35377,44096,53707,32.27,40.23,49.00,
경상남도,산청군,34197,17554,20899,23774,51.33,61.11,69.52,
경상남도,양산시,354386,80725,109004,140623,22.78,30.76,39.68,
경상남도,의령군,26335,13401,15790,17876,50.89,59.96,67.88,
경상남도,진주시,345957,90896,117476,148044,26.27,33.96,42.79,
경상남도,창녕군,59767,26796,32504,37347,44.83,54.38,62.49,
경상남도,창원시 마산합포구,181235,57982,72482,87311,31.99,39.99,48.18,
경상남도,창원시 마산회원구,185646,53450,69752,86793,28.79,37.57,46.75,
경상남도,창원시 성산구,250100,45953,70449,96616,18.37,28.17,38.63,
경상남도,창원시 의창구,217224,51347,71692,92365,23.64,33.00,42.52,
경상남도,창원시 진해구,194670,44026,57555,73819,22.62,29.57,37.92,
경상남도,통영시,124872,39056,49677,60969,31.28,39.78,48.83,
경상남도,하동군,43114,21129,25279,29091,49.01,58.63,67.47,
경상남도,함안군,62269,23490,29069,34461,37.72,46.68,55.34,
