시도명,시도별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,
강원도,1539036,487651,618721,751653,31.69,40.20,48.84,
경기도,13575936,2922646,3988683,5204891,21.53,29.38,38.34,
경상남도,3303274,905790,1183725,1485074,27.42,35.83,44.96,
경상북도,2619641,848082,1074953,1301803,32.37,41.03,49.69,
광주광역시,1438463,318219,428051,555045,22.12,29.76,38.59,
대구광역시,2380494,619907,820772,1038551,26.04,34.48,43.63,
대전광역시,1450057,336805,447374,576317,23.23,30.85,39.74,
부산광역시,3343504,995720,1265665,1547742,29.78,37.85,46.29,
서울특별시,9506778,2343242,3048504,3849867,24.65,32.07,40.50,
세종특별자치시,377296,58400,79663,108379,15.48,21.11,28.73,
울산광역시,1118010,250258,350991,456904,22.38,31.39,40.87,
인천광역시,2952699,686125,934637,1196852,23.24,31.65,40.53,
전라남도,1829501,613481,770539,926512,33.53,42.12,50.64,
전라북도,1782205,554273,700203,853619,31.10,39.29,47.90,
제주특별자치도,677218,161933,216047,277851,23.91,31.90,41.03,
충청남도,2119099,599589,763032,939756,28.29,36.01,44.35,
충청북도,1597484,446935,578863,716936,27.98,36.24,44.88,
,,,,,,,,
,,,,,,,,
