시도명,시군구명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
강원도,강릉시,212642,68175,86108,104765,121875,136371,32.06,40.49,49.27,57.31,64.13
강원도,고성군,27366,11495,14021,16276,17990,19345,42.00,51.24,59.48,65.74,70.69
강원도,동해시,89804,27640,35017,43268,50893,57458,30.78,38.99,48.18,56.67,63.98
강원도,삼척시,64264,23805,29272,34723,39439,43286,37.04,45.55,54.03,61.37,67.36
강원도,속초시,82737,24975,32285,40079,46389,52190,30.19,39.02,48.44,56.07,63.08
강원도,양구군,21701,7129,8915,10484,11738,12898,32.85,41.08,48.31,54.09,59.44
강원도,양양군,27901,12073,14641,16998,18844,20426,43.27,52.47,60.92,67.54,73.21
강원도,영월군,38003,16670,20412,23714,26155,28040,43.86,53.71,62.40,68.82,73.78
강원도,원주시,358659,87987,117366,149410,178785,206296,24.53,32.72,41.66,49.85,57.52
강원도,인제군,32216,10336,13039,15394,17349,19367,32.08,40.47,47.78,53.85,60.12
강원도,정선군,35446,15082,18512,21708,24251,26284,42.55,52.23,61.24,68.42,74.15
강원도,철원군,42964,14554,18146,21417,24283,26809,33.87,42.24,49.85,56.52,62.40
강원도,춘천시,285372,77761,100291,124584,145987,166554,27.25,35.14,43.66,51.16,58.36
강원도,태백시,40331,15069,18526,22064,25240,28063,37.36,45.93,54.71,62.58,69.58
강원도,평창군,41136,17924,22039,25667,28498,30693,43.57,53.58,62.40,69.28,74.61
강원도,홍천군,68047,27936,34461,39890,44225,47796,41.05,50.64,58.62,64.99,70.24
강원도,화천군,24046,8138,10114,11891,13244,14479,33.84,42.06,49.45,55.08,60.21
강원도,횡성군,46401,20902,25556,29321,31993,34221,45.05,55.08,63.19,68.95,73.75
경기도,가평군,62221,24449,30333,35493,39661,43217,39.29,48.75,57.04,63.74,69.46
경기도,고양시 덕양구,484122,113087,153391,197269,236745,275457,23.36,31.68,40.75,48.90,56.90
경기도,고양시 일산동구,299256,63574,89755,120260,146591,169492,21.24,29.99,40.19,48.99,56.64
경기도,고양시 일산서구,295687,62708,88478,119208,145799,167937,21.21,29.92,40.32,49.31,56.80
경기도,과천시,78128,16685,22998,29858,35632,41669,21.36,29.44,38.22,45.61,53.33
경기도,광명시,290698,66549,89374,115472,140774,164799,22.89,30.74,39.72,48.43,56.69
경기도,광주시,388213,87684,118799,153410,186282,221663,22.59,30.60,39.52,47.98,57.10
경기도,구리시,191213,44142,60737,78975,94767,110073,23.09,31.76,41.30,49.56,57.57
경기도,군포시,267173,61400,83996,108616,130622,150678,22.98,31.44,40.65,48.89,56.40
경기도,김포시,485882,95399,127505,165018,207290,257935,19.63,26.24,33.96,42.66,53.09
경기도,남양주시,734033,163120,219446,286316,352568,418777,22.22,29.90,39.01,48.03,57.05
경기도,동두천시,93346,28331,36301,44832,52217,58504,30.35,38.89,48.03,55.94,62.67
경기도,부천시,802473,193352,264468,337301,400362,461935,24.09,32.96,42.03,49.89,57.56
경기도,성남시 분당구,484680,96612,130885,175469,219182,260743,19.93,27.00,36.20,45.22,53.80
경기도,성남시 수정구,235377,59969,79510,99867,117846,135992,25.48,33.78,42.43,50.07,57.78
경기도,성남시 중원구,209406,54679,72678,91173,107084,122360,26.11,34.71,43.54,51.14,58.43
경기도,수원시 권선구,369288,72167,102189,134586,164244,195990,19.54,27.67,36.44,44.48,53.07
경기도,수원시 영통구,361145,48281,72475,103754,136455,170508,13.37,20.07,28.73,37.78,47.21
경기도,수원시 장안구,273541,59344,82277,108623,131918,152366,21.69,30.08,39.71,48.23,55.70
경기도,수원시 팔달구,181595,43127,57885,73972,88028,101216,23.75,31.88,40.73,48.47,55.74
경기도,시흥시,512455,86780,128925,176938,222403,269846,16.93,25.16,34.53,43.40,52.66
경기도,안산시 단원구,301483,59189,87494,117832,143419,165812,19.63,29.02,39.08,47.57,55.00
경기도,안산시 상록구,349670,70604,103477,139740,169520,194595,20.19,29.59,39.96,48.48,55.65
경기도,안성시,189539,51275,66684,83303,98519,113484,27.05,35.18,43.95,51.98,59.87
경기도,안양시 동안구,313589,64644,89371,118461,145672,170462,20.61,28.50,37.78,46.45,54.36
경기도,안양시 만안구,236237,62331,83504,104609,121811,138351,26.38,35.35,44.28,51.56,58.56
경기도,양주시,236239,58041,76715,97726,118516,137497,24.57,32.47,41.37,50.17,58.20
경기도,양평군,121726,46661,57709,67568,76310,83958,38.33,47.41,55.51,62.69,68.97
경기도,여주시,112393,37606,47949,57655,65930,73426,33.46,42.66,51.30,58.66,65.33
경기도,연천군,42784,16469,20293,23439,25949,28152,38.49,47.43,54.78,60.65,65.80
경기도,오산시,229918,37649,52785,71962,92952,116158,16.37,22.96,31.30,40.43,50.52
경기도,용인시 기흥구,440826,86081,115878,156789,198595,238706,19.53,26.29,35.57,45.05,54.15
경기도,용인시 수지구,375172,71093,95094,129214,165484,200443,18.95,25.35,34.44,44.11,53.43
경기도,용인시 처인구,259786,60750,81787,104982,127056,148394,23.38,31.48,40.41,48.91,57.12
경기도,의왕시,162493,38236,52579,67366,79547,91237,23.53,32.36,41.46,48.95,56.15
경기도,의정부시,464262,111587,150231,193150,230819,266463,24.04,32.36,41.60,49.72,57.39
경기도,이천시,222714,50897,67967,86621,104293,121818,22.85,30.52,38.89,46.83,54.70
경기도,파주시,486131,103505,138879,181431,222795,264887,21.29,28.57,37.32,45.83,54.49
경기도,평택시,568405,108963,151143,201466,249901,299792,19.17,26.59,35.44,43.97,52.74
경기도,포천시,148527,47957,63092,77012,87855,96465,32.29,42.48,51.85,59.15,64.95
경기도,하남시,323442,65193,86781,111383,137770,170050,20.16,26.83,34.44,42.59,52.58
경기도,화성시,890668,132476,186866,256772,336712,430029,14.87,20.98,28.83,37.80,48.28
경상남도,거제시,239554,47072,64973,87415,110529,134627,19.65,27.12,36.49,46.14,56.20
경상남도,거창군,60841,23818,28925,34021,38075,41391,39.15,47.54,55.92,62.58,68.03
경상남도,고성군,50126,22283,26843,31151,34331,37088,44.45,53.55,62.15,68.49,73.99
경상남도,김해시,536662,106000,150996,205211,254853,300989,19.75,28.14,38.24,47.49,56.09
경상남도,남해군,42221,21305,25049,28350,30842,32680,50.46,59.33,67.15,73.05,77.40
경상남도,밀양시,103482,43333,53097,61455,68118,74059,41.87,51.31,59.39,65.83,71.57
경상남도,사천시,109617,35377,44096,53707,62666,71033,32.27,40.23,49.00,57.17,64.80
경상남도,산청군,34197,17554,20899,23774,25641,27032,51.33,61.11,69.52,74.98,79.05
경상남도,양산시,354386,80725,109004,140623,170708,202326,22.78,30.76,39.68,48.17,57.09
경상남도,의령군,26335,13401,15790,17876,19415,20551,50.89,59.96,67.88,73.72,78.04
경상남도,진주시,345957,90896,117476,148044,175491,201111,26.27,33.96,42.79,50.73,58.13
경상남도,창녕군,59767,26796,32504,37347,40903,44141,44.83,54.38,62.49,68.44,73.86
경상남도,창원시 마산합포구,181235,57982,72482,87311,100251,114205,31.99,39.99,48.18,55.32,63.01
경상남도,창원시 마산회원구,185646,53450,69752,86793,101849,116018,28.79,37.57,46.75,54.86,62.49
경상남도,창원시 성산구,250100,45953,70449,96616,117584,136536,18.37,28.17,38.63,47.01,54.59
경상남도,창원시 의창구,217224,51347,71692,92365,109203,126149,23.64,33.00,42.52,50.27,58.07
경상남도,창원시 진해구,194670,44026,57555,73819,91326,109862,22.62,29.57,37.92,46.91,56.43
경상남도,통영시,124872,39056,49677,60969,71506,81705,31.28,39.78,48.83,57.26,65.43
경상남도,하동군,43114,21129,25279,29091,31748,33551,49.01,58.63,67.47,73.64,77.82
경상남도,함안군,62269,23490,29069,34461,39209,43275,37.72,46.68,55.34,62.97,69.50
경상남도,함양군,38283,17806,21275,24536,26842,28594,46.51,55.57,64.09,70.11,74.69
경상남도,합천군,42716,22991,26843,30139,32324,34068,53.82,62.84,70.56,75.67,79.75
경상북도,경산시,267844,69867,91842,115808,137408,157449,26.08,34.29,43.24,51.30,58.78
경상북도,경주시,251154,84629,108022,131237,150351,166754,33.70,43.01,52.25,59.86,66.40
경상북도,고령군,30525,13907,16978,19607,21610,23135,45.56,55.62,64.23,70.79,75.79
경상북도,구미시,410412,70762,103226,140901,176539,213537,17.24,25.15,34.33,43.02,52.03
경상북도,군위군,23258,12852,15334,17073,18206,19090,55.26,65.93,73.41,78.28,82.08
경상북도,김천시,140078,47066,59069,70674,80461,89822,33.60,42.17,50.45,57.44,64.12
경상북도,문경시,72283,30403,36701,42389,47165,51032,42.06,50.77,58.64,65.25,70.60
경상북도,봉화군,30594,15761,18831,21196,22880,24173,51.52,61.55,69.28,74.79,79.01
경상북도,상주시,95771,41951,50540,58044,64128,68964,43.80,52.77,60.61,66.96,72.01
경상북도,성주군,42944,20230,24778,28234,30735,32723,47.11,57.70,65.75,71.57,76.20
경상북도,안동시,156182,55371,68049,81019,92588,102492,35.45,43.57,51.87,59.28,65.62
경상북도,영덕군,35166,17903,21113,23879,25876,27474,50.91,60.04,67.90,73.58,78.13
경상북도,영양군,16256,8296,9858,11116,12004,12687,51.03,60.64,68.38,73.84,78.05
경상북도,영주시,101599,39546,48160,56750,64123,70139,38.92,47.40,55.86,63.11,69.04
경상북도,영천시,101552,41045,50365,59008,65708,71128,40.42,49.60,58.11,64.70,70.04
경상북도,예천군,55538,22550,26722,30416,33997,37684,40.60,48.11,54.77,61.21,67.85
경상북도,울릉군,8977,3522,4461,5326,5984,6540,39.23,49.69,59.33,66.66,72.85
경상북도,울진군,47483,19042,23312,27328,30550,33268,40.10,49.10,57.55,64.34,70.06
경상북도,의성군,50560,28386,32959,36518,38941,40916,56.14,65.19,72.23,77.02,80.93
경상북도,청도군,41781,21896,25803,28954,31291,33190,52.41,61.76,69.30,74.89,79.44
경상북도,청송군,24538,12754,15255,17165,18447,19380,51.98,62.17,69.95,75.18,78.98
경상북도,칠곡군,113455,28348,37804,48480,59055,69033,24.99,33.32,42.73,52.05,60.85
경상북도,포항시 남구,229821,65358,85276,106055,124086,141483,28.44,37.11,46.15,53.99,61.56
경상북도,포항시 북구,271870,76637,100495,124626,145414,165651,28.19,36.96,45.84,53.49,60.93
광주광역시,광산구,403407,63523,92847,130691,169306,205625,15.75,23.02,32.40,41.97,50.97
광주광역시,남구,215008,56152,71678,89116,106472,123587,26.12,33.34,41.45,49.52,57.48
광주광역시,동구,103081,31143,38748,46558,53555,60675,30.21,37.59,45.17,51.95,58.86
