시도명,시군구명,행정동명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
서울특별시,종로구,청운효자동,11904,2965,3816,4885,5934,6956,24.91,32.06,41.04,49.85,58.43
서울특별시,종로구,사직동,9370,2488,3195,4030,4791,5495,26.55,34.10,43.01,51.13,58.64
서울특별시,종로구,삼청동,2441,830,1013,1209,1368,1554,34.00,41.50,49.53,56.04,63.66
서울특별시,종로구,부암동,9488,2547,3340,4229,5045,5763,26.84,35.20,44.57,53.17,60.74
서울특별시,종로구,평창동,18087,4969,6529,8227,9590,10904,27.47,36.10,45.49,53.02,60.29
서울특별시,종로구,무악동,8210,2043,2655,3466,4226,4855,24.88,32.34,42.22,51.47,59.14
서울특별시,종로구,교남동,9989,2299,2999,3893,4774,5651,23.02,30.02,38.97,47.79,56.57
서울특별시,종로구,가회동,4045,1184,1495,1892,2235,2554,29.27,36.96,46.77,55.25,63.14
서울특별시,종로구,종로1.2.3.4가동,7225,2680,3393,3989,4466,4896,37.09,46.96,55.21,61.81,67.76
서울특별시,종로구,종로5.6가동,5080,1486,1942,2371,2655,2907,29.25,38.23,46.67,52.26,57.22
서울특별시,종로구,이화동,7226,1865,2385,2947,3378,3828,25.81,33.01,40.78,46.75,52.98
서울특별시,종로구,혜화동,16383,3648,4689,6012,7107,8094,22.27,28.62,36.70,43.38,49.40
서울특별시,종로구,창신제1동,4908,1830,2364,2815,3128,3386,37.29,48.17,57.36,63.73,68.99
서울특별시,종로구,창신제2동,7866,2558,3456,4312,4866,5263,32.52,43.94,54.82,61.86,66.91
서울특별시,종로구,창신제3동,6513,1820,2413,3039,3494,3919,27.94,37.05,46.66,53.65,60.17
서울특별시,종로구,숭인제1동,5843,1713,2301,2859,3312,3712,29.32,39.38,48.93,56.68,63.53
서울특별시,종로구,숭인제2동,9697,2446,3249,4076,4663,5232,25.22,33.51,42.03,48.09,53.95
서울특별시,중구,소공동,2252,389,510,695,908,1197,17.27,22.65,30.86,40.32,53.15
서울특별시,중구,회현동,4742,1839,2297,2715,3086,3348,38.78,48.44,57.25,65.08,70.60
서울특별시,중구,명동,2849,993,1213,1476,1675,1879,34.85,42.58,51.81,58.79,65.95
서울특별시,중구,필동,4043,1226,1509,1815,2038,2271,30.32,37.32,44.89,50.41,56.17
서울특별시,중구,장충동,4608,1132,1406,1740,2020,2303,24.57,30.51,37.76,43.84,49.98
서울특별시,중구,광희동,5244,1582,2009,2369,2681,2981,30.17,38.31,45.18,51.13,56.85
서울특별시,중구,을지로동,1746,661,815,935,1033,1119,37.86,46.68,53.55,59.16,64.09
서울특별시,중구,신당동,7698,2079,2689,3396,3918,4447,27.01,34.93,44.12,50.90,57.77
서울특별시,중구,다산동,13723,3921,4971,6155,7118,8019,28.57,36.22,44.85,51.87,58.43
